date,store_id,store_name,region,product_id,product_name,category,sales,price,promotion,discount_pct,unit_cost,current_stock
2025-01-01,S001,Downtown Flagship,North,P001,Classic Sneakers,Footwear,17,67.15,1,15,34,620
2025-01-01,S001,Downtown Flagship,North,P002,Everyday Hoodie,Apparel,23,50.15,1,15,22,480
2025-01-01,S001,Downtown Flagship,North,P003,Urban Backpack,Accessories,29,41.65,1,15,18,350
2025-01-01,S001,Downtown Flagship,North,P004,Performance Tee,Apparel,37,24.65,1,15,9,800
2025-01-01,S002,Mall Express,South,P001,Classic Sneakers,Footwear,20,67.15,1,15,34,620
2025-01-01,S002,Mall Express,South,P002,Everyday Hoodie,Apparel,22,50.15,1,15,22,480
2025-01-01,S002,Mall Express,South,P003,Urban Backpack,Accessories,33,41.65,1,15,18,350
2025-01-01,S002,Mall Express,South,P004,Performance Tee,Apparel,37,24.65,1,15,9,800
2025-01-01,S003,Riverside Market,West,P001,Classic Sneakers,Footwear,23,67.15,1,15,34,620
2025-01-01,S003,Riverside Market,West,P002,Everyday Hoodie,Apparel,29,50.15,1,15,22,480
2025-01-01,S003,Riverside Market,West,P003,Urban Backpack,Accessories,35,41.65,1,15,18,350
2025-01-01,S003,Riverside Market,West,P004,Performance Tee,Apparel,44,24.65,1,15,9,800
2025-01-02,S001,Downtown Flagship,North,P001,Classic Sneakers,Footwear,19,67.15,1,15,34,620
2025-01-02,S001,Downtown Flagship,North,P002,Everyday Hoodie,Apparel,24,50.15,1,15,22,480
2025-01-02,S001,Downtown Flagship,North,P003,Urban Backpack,Accessories,27,41.65,1,15,18,350
2025-01-02,S001,Downtown Flagship,North,P004,Performance Tee,Apparel,32,24.65,1,15,9,800
2025-01-02,S002,Mall Express,South,P001,Classic Sneakers,Footwear,21,67.15,1,15,34,620
2025-01-02,S002,Mall Express,South,P002,Everyday Hoodie,Apparel,30,50.15,1,15,22,480
2025-01-02,S002,Mall Express,South,P003,Urban Backpack,Accessories,32,41.65,1,15,18,350
2025-01-02,S002,Mall Express,South,P004,Performance Tee,Apparel,38,24.65,1,15,9,800
2025-01-02,S003,Riverside Market,West,P001,Classic Sneakers,Footwear,25,67.15,1,15,34,620
2025-01-02,S003,Riverside Market,West,P002,Everyday Hoodie,Apparel,25,50.15,1,15,22,480
2025-01-02,S003,Riverside Market,West,P003,Urban Backpack,Accessories,34,41.65,1,15,18,350
2025-01-02,S003,Riverside Market,West,P004,Performance Tee,Apparel,42,24.65,1,15,9,800
2025-01-03,S001,Downtown Flagship,North,P001,Classic Sneakers,Footwear,20,67.15,1,15,34,620
2025-01-03,S001,Downtown Flagship,North,P002,Everyday Hoodie,Apparel,23,50.15,1,15,22,480
2025-01-03,S001,Downtown Flagship,North,P003,Urban Backpack,Accessories,30,41.65,1,15,18,350
2025-01-03,S001,Downtown Flagship,North,P004,Performance Tee,Apparel,36,24.65,1,15,9,800
2025-01-03,S002,Mall Express,South,P001,Classic Sneakers,Footwear,23,67.15,1,15,34,620
2025-01-03,S002,Mall Express,South,P002,Everyday Hoodie,Apparel,23,50.15,1,15,22,480
2025-01-03,S002,Mall Express,South,P003,Urban Backpack,Accessories,34,41.65,1,15,18,350
2025-01-03,S002,Mall Express,South,P004,Performance Tee,Apparel,33,24.65,1,15,9,800
2025-01-03,S003,Riverside Market,West,P001,Classic Sneakers,Footwear,16,67.15,1,15,34,620
2025-01-03,S003,Riverside Market,West,P002,Everyday Hoodie,Apparel,27,50.15,1,15,22,480
2025-01-03,S003,Riverside Market,West,P003,Urban Backpack,Accessories,32,41.65,1,15,18,350
2025-01-03,S003,Riverside Market,West,P004,Performance Tee,Apparel,44,24.65,1,15,9,800
2025-01-04,S001,Downtown Flagship,North,P001,Classic Sneakers,Footwear,24,67.15,1,15,34,620
2025-01-04,S001,Downtown Flagship,North,P002,Everyday Hoodie,Apparel,26,50.15,1,15,22,480
2025-01-04,S001,Downtown Flagship,North,P003,Urban Backpack,Accessories,39,41.65,1,15,18,350
2025-01-04,S001,Downtown Flagship,North,P004,Performance Tee,Apparel,41,24.65,1,15,9,800
2025-01-04,S002,Mall Express,South,P001,Classic Sneakers,Footwear,25,67.15,1,15,34,620
2025-01-04,S002,Mall Express,South,P002,Everyday Hoodie,Apparel,32,50.15,1,15,22,480
2025-01-04,S002,Mall Express,South,P003,Urban Backpack,Accessories,41,41.65,1,15,18,350
2025-01-04,S002,Mall Express,South,P004,Performance Tee,Apparel,50,24.65,1,15,9,800
2025-01-04,S003,Riverside Market,West,P001,Classic Sneakers,Footwear,31,67.15,1,15,34,620
2025-01-04,S003,Riverside Market,West,P002,Everyday Hoodie,Apparel,38,50.15,1,15,22,480
2025-01-04,S003,Riverside Market,West,P003,Urban Backpack,Accessories,46,41.65,1,15,18,350
2025-01-04,S003,Riverside Market,West,P004,Performance Tee,Apparel,53,24.65,1,15,9,800
2025-01-05,S001,Downtown Flagship,North,P001,Classic Sneakers,Footwear,13,79,0,0,34,620
2025-01-05,S001,Downtown Flagship,North,P002,Everyday Hoodie,Apparel,18,59,0,0,22,480
2025-01-05,S001,Downtown Flagship,North,P003,Urban Backpack,Accessories,24,49,0,0,18,350
2025-01-05,S001,Downtown Flagship,North,P004,Performance Tee,Apparel,32,29,0,0,9,800
2025-01-05,S002,Mall Express,South,P001,Classic Sneakers,Footwear,17,79,0,0,34,620
2025-01-05,S002,Mall Express,South,P002,Everyday Hoodie,Apparel,30,59,0,0,22,480
2025-01-05,S002,Mall Express,South,P003,Urban Backpack,Accessories,25,49,0,0,18,350
2025-01-05,S002,Mall Express,South,P004,Performance Tee,Apparel,30,29,0,0,9,800
2025-01-05,S003,Riverside Market,West,P001,Classic Sneakers,Footwear,23,79,0,0,34,620
2025-01-05,S003,Riverside Market,West,P002,Everyday Hoodie,Apparel,30,59,0,0,22,480
2025-01-05,S003,Riverside Market,West,P003,Urban Backpack,Accessories,32,49,0,0,18,350
2025-01-05,S003,Riverside Market,West,P004,Performance Tee,Apparel,38,29,0,0,9,800
2025-01-06,S001,Downtown Flagship,North,P001,Classic Sneakers,Footwear,17,79,0,0,34,620
2025-01-06,S001,Downtown Flagship,North,P002,Everyday Hoodie,Apparel,16,59,0,0,22,480
2025-01-06,S001,Downtown Flagship,North,P003,Urban Backpack,Accessories,16,49,0,0,18,350
2025-01-06,S001,Downtown Flagship,North,P004,Performance Tee,Apparel,23,29,0,0,9,800
2025-01-06,S002,Mall Express,South,P001,Classic Sneakers,Footwear,17,79,0,0,34,620
2025-01-06,S002,Mall Express,South,P002,Everyday Hoodie,Apparel,14,59,0,0,22,480
2025-01-06,S002,Mall Express,South,P003,Urban Backpack,Accessories,23,49,0,0,18,350
2025-01-06,S002,Mall Express,South,P004,Performance Tee,Apparel,27,29,0,0,9,800
2025-01-06,S003,Riverside Market,West,P001,Classic Sneakers,Footwear,15,79,0,0,34,620
2025-01-06,S003,Riverside Market,West,P002,Everyday Hoodie,Apparel,23,59,0,0,22,480
2025-01-06,S003,Riverside Market,West,P003,Urban Backpack,Accessories,26,49,0,0,18,350
2025-01-06,S003,Riverside Market,West,P004,Performance Tee,Apparel,35,29,0,0,9,800
2025-01-07,S001,Downtown Flagship,North,P001,Classic Sneakers,Footwear,14,79,0,0,34,620
2025-01-07,S001,Downtown Flagship,North,P002,Everyday Hoodie,Apparel,15,59,0,0,22,480
2025-01-07,S001,Downtown Flagship,North,P003,Urban Backpack,Accessories,19,49,0,0,18,350
2025-01-07,S001,Downtown Flagship,North,P004,Performance Tee,Apparel,22,29,0,0,9,800
2025-01-07,S002,Mall Express,South,P001,Classic Sneakers,Footwear,17,79,0,0,34,620
2025-01-07,S002,Mall Express,South,P002,Everyday Hoodie,Apparel,17,59,0,0,22,480
2025-01-07,S002,Mall Express,South,P003,Urban Backpack,Accessories,22,49,0,0,18,350
2025-01-07,S002,Mall Express,South,P004,Performance Tee,Apparel,29,29,0,0,9,800
2025-01-07,S003,Riverside Market,West,P001,Classic Sneakers,Footwear,14,79,0,0,34,620
2025-01-07,S003,Riverside Market,West,P002,Everyday Hoodie,Apparel,20,59,0,0,22,480
2025-01-07,S003,Riverside Market,West,P003,Urban Backpack,Accessories,19,49,0,0,18,350
2025-01-07,S003,Riverside Market,West,P004,Performance Tee,Apparel,25,29,0,0,9,800
2025-01-08,S001,Downtown Flagship,North,P001,Classic Sneakers,Footwear,11,79,0,0,34,620
2025-01-08,S001,Downtown Flagship,North,P002,Everyday Hoodie,Apparel,18,59,0,0,22,480
2025-01-08,S001,Downtown Flagship,North,P003,Urban Backpack,Accessories,24,49,0,0,18,350
